User ID,Vehicle Model,Battery Capacity (kWh),Charging Station ID,Charging Station Location,Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),Time of Day,Day of Week,State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Charger Type,User Type,Estimated_Battery_Capacity,Energy_Needed,Avg_Cost_per_kWh,SOC_Delta,Energy_per_%,Estimated_Max_Charging_Power,Charging_Efficiency,Driving Efficiency
User_1,BMW i3,108.463007412841,Station_391,Houston,2024-01-01 00:00:00,2024-01-01 00:39:00,60.7123457349268,0.591363425358501,36.3891805669814,13.0877167917745,Evening,Tuesday,29.3715759791401,86.1199624445784,293.602110638328,27.9479530558009,2,DC Fast Charger,Commuter,75,52.971318015645,0.215569282216769,56.7483864654383,1.06985148858642,73.3773288758577,1.39913832836092,4.83595399064648
User_2,Hyundai Kona,100,Station_428,San Francisco,2024-01-01 01:00:00,2024-01-01 03:01:00,12.3392752037338,3.13365205268808,30.6777349397144,21.1284479291374,Morning,Monday,10.11577764168,84.6643436278644,112.112803682182,14.3110256603778,3,Level 1,Casual Driver,75,67.41316676874,1.71229246291096,74.5485659861845,0.165519953878395,72.5478832921605,0.0542767871434677,9.08585000586238
User_3,Chevy Bolt,75,Station_181,San Francisco,2024-01-01 02:00:00,2024-01-01 04:48:00,19.1288757001155,2.45265272583678,27.5135925587732,35.6672704235674,Morning,Thursday,6.85460444439855,69.9176152401628,71.799252925948,21.0020018361442,2,Level 2,Commuter,75,69.8590466667011,1.86457745780386,63.0630107957643,0.303329566075845,71.6210409570786,0.10889620775961,3.75344866324342
User_4,Hyundai Kona,50,Station_327,Houston,2024-01-01 03:00:00,2024-01-01 06:42:00,79.457823988455,1.26643080462045,32.8828697573862,13.0362388339146,Evening,Saturday,83.1200029607422,99.6243276311942,199.577784516329,38.3163131603634,1,Level 1,Long-Distance Traveler,75,12.6599977794433,0.164064885992961,16.504324670452,4.81436384553861,72.5478832921605,0.864829421664932,2.51174490438256
User_5,Hyundai Kona,50,Station_108,Los Angeles,2024-01-01 04:00:00,2024-01-01 05:46:00,19.6291041677273,2.01976508658946,10.2157120712046,10.1614711710314,Morning,Saturday,54.2589496911698,63.7437860361697,203.661846557999,-7.83419902724921,1,Level 1,Long-Distance Traveler,75,34.3057877316226,0.517673709620339,9.48483634499988,2.06952481347505,72.5478832921605,0.133959918081779,10.3755038853401
User_7,Chevy Bolt,85,Station_162,Houston,2024-01-01 06:00:00,2024-01-01 07:53:00,36.8621399882675,3.53961902631615,26.1851878600335,22.2142251756978,Evening,Friday,60.7517807597668,70.7960969014715,81.3380089080277,27.5513346806664,4,Level 2,Commuter,75,29.4361644301749,0.60262983057327,10.0443161417047,3.66995019553529,71.6210409570786,0.145406357180332,2.20654603704278
User_8,Chevy Bolt,75,Station_302,Los Angeles,2024-01-01 07:00:00,2024-01-01 10:42:00,51.4676168583995,2.65539644561302,26.7029077655282,9.79682132132203,Afternoon,Monday,56.2017030329955,63.7868153317766,116.543165781169,-4.41745966595273,0,Level 2,Long-Distance Traveler,75,32.8487227252534,0.190349231600826,7.58511229878116,6.78534672013619,71.6210409570786,0.270622599137256,2.26439794369748
User_9,Chevy Bolt,62,Station_493,Los Angeles,2024-01-01 08:00:00,2024-01-01 09:21:00,43.5923722821699,1.72420359913277,14.2949229266611,32.4650050720882,Evening,Wednesday,33.4662002632607,92.961420903589,208.259742494437,22.5167064267963,4,Level 1,Commuter,75,49.9003498025545,0.744740498680477,59.4952206403283,0.732703767008491,72.5478832921605,0.348495529089332,4.77743539962424
User_10,Hyundai Kona,50,Station_452,Chicago,2024-01-01 09:00:00,2024-01-01 12:44:00,78.8686074512679,2.02687469098436,11.760999715157,21.3123024511557,Morning,Wednesday,27.3994546256092,70.0533813778071,54.0063091999256,27.5120193646259,2.83038130694359,DC Fast Charger,Commuter,75,54.4504090307931,0.270225418450864,42.6539267521979,1.84903509375497,73.3773288758577,0.530292365437301,0.684763062835813
User_11,BMW i3,50,Station_206,Los Angeles,2024-01-01 10:00:00,2024-01-01 13:59:00,18.2061974773787,2.6486354477277,10.3107011128922,38.2212307040518,Night,Thursday,76.0865655704019,82.2655816267944,64.6346437488713,0.500433564395479,3,DC Fast Charger,Casual Driver,75,17.9350758221986,2.09935274796079,6.17901605639254,2.94645576435157,73.3773288758577,0.0936774723177016,3.55014515409822
User_12,Chevy Bolt,85,Station_78,San Francisco,2024-01-01 11:00:00,2024-01-01 14:55:00,22.5649294841068,2.05788862152045,4.46482262892762,14.0508613520737,Evening,Sunday,14.6189023720785,85.8574941541905,194.763806681738,34.2626112731924,0,DC Fast Charger,Long-Distance Traveler,75,64.0358232209411,0.622685808168388,71.2385917821121,0.31675148145998,73.3773288758577,0.149434273505276,8.63126148118107
User_13,Hyundai Kona,100,Station_16,San Francisco,2024-01-01 12:00:00,2024-01-01 13:00:00,34.256452908516,3.0655847520228,5.52368861904297,10.9721359972182,Afternoon,Monday,19.2054469497732,51.6264827292999,249.127596515425,23.6629653623388,0,Level 2,Casual Driver,75,60.5959147876701,0.320293990347453,32.4210357795266,1.05661192139174,71.6210409570786,0.156022932279154,7.27242826864578
User_14,Nissan Leaf,75,Station_327,Houston,2024-01-01 13:00:00,2024-01-01 15:54:00,16.5610643252251,3.5909657181461,19.7690987175572,37.4418566028684,Morning,Friday,25.7754153897633,69.2012290988145,159.231610218964,34.1103486385968,7,Level 2,Commuter,75,55.6684384576775,2.26083637304872,43.4258137090512,0.381364513655003,71.6210409570786,0.0643926585676114,9.61481744723553
User_16,Nissan Leaf,100,Station_147,Los Angeles,2024-01-01 15:00:00,2024-01-01 17:19:00,27.3543178846107,2.70328612753427,11.1124988416708,33.0934927110558,Evening,Monday,10.6771537293848,72.4034701522673,247.659436921476,-8.30213689912669,1.53523408779527,DC Fast Charger,Long-Distance Traveler,75,66.9921347029614,1.20980873479115,61.7263164228826,0.443154872505404,73.3773288758577,0.137902447949205,9.05376028626205
User_17,BMW i3,97.681812229825,Station_2,New York,2024-01-01 16:00:00,2024-01-01 18:02:00,24.7269376807088,3.45868027877245,49.4027386156698,17.494808461074,Evening,Thursday,67.591970910776,89.9422293648588,237.306420942769,4.41532961880046,7,DC Fast Charger,Commuter,75,24.306021816918,0.707520222964079,22.3502584540828,1.10633788560024,73.3773288758577,0.0974311925772973,9.59708088429843
User_18,Hyundai Kona,50,Station_10,Chicago,2024-01-01 17:00:00,2024-01-01 20:13:00,23.8240404737053,0.848218267818304,6.6142801247462,6.43058921199716,Evening,Friday,57.5951951195195,74.9619503470838,22.0068291634381,18.4057090502594,6,Level 2,Casual Driver,75,31.8036036603604,0.269920176600381,17.3667552275643,1.37181875148975,71.6210409570786,0.392163498125286,0.923723630663202
User_20,BMW i3,50,Station_125,Los Angeles,2024-01-01 19:00:00,2024-01-01 20:22:00,48.4824843075705,2.58092535400766,45.291435346498,7.09084420059414,Morning,Wednesday,12.7548775717218,116.095656889401,243.255769469669,9.20240989191681,3,Level 2,Long-Distance Traveler,75,65.4338418212087,0.146255793238857,103.34077931768,0.469151525928894,71.6210409570786,0.262282184832592,5.01739489928913
User_21,Nissan Leaf,50,Station_81,Los Angeles,2024-01-01 20:00:00,2024-01-01 22:54:00,50.2790666735719,3.16887289218907,30.4899602339687,28.8728946080081,Night,Tuesday,16.545512365179,77.9363271394958,15.4204445959801,33.9803101030591,3,Level 2,Casual Driver,75,62.5908657261157,0.574252795809842,61.3908147743167,0.81899982690255,71.6210409570786,0.221534698789198,0.306697113056903
User_22,Hyundai Kona,62,Station_485,New York,2024-01-01 21:00:00,2024-01-01 22:55:00,59.1350316162392,2.93176149509575,20.1704782995344,34.8532344018844,Evening,Sunday,71.5303121297424,75.9743515870312,219.626356921434,-2.755069331695,5,Level 1,Commuter,75,21.3522659026932,0.589383880405558,4.44403945728882,13.3065946386344,72.5478832921605,0.278029866402925,3.71398054450557
User_23,BMW i3,75,Station_140,Chicago,2024-01-01 22:00:00,2024-01-02 01:02:00,49.1964295897138,2.56281730426841,19.1948828370796,14.8561312186067,Afternoon,Saturday,49.0242391095052,64.4818739375919,298.188122318363,39.958937316772,4.25793670275829,DC Fast Charger,Long-Distance Traveler,75,38.2318206678711,0.30197580073398,15.4576348280867,3.1826621690094,73.3773288758577,0.261609818316272,6.06117404871002
User_24,Tesla Model 3,100,Station_326,New York,2024-01-01 23:00:00,2024-01-01 23:31:00,68.4471263202638,2.07142920922344,49.7103069690129,38.4060616960594,Morning,Friday,19.2331391273054,74.0061508809506,280.915468226521,3.5808399539001,5,DC Fast Charger,Commuter,75,60.5751456545209,0.561105538841144,54.7730117536452,1.249650587558,73.3773288758577,0.45032206302223,4.10412362546996
User_29,BMW i3,75,Station_129,Los Angeles,2024-01-02 04:00:00,2024-01-02 04:35:00,31.6844845865745,2.43967793815389,48.6487231907923,25.6171039958087,Afternoon,Friday,34.7276390959767,54.4020503852158,152.259866990807,20.3785623102743,3,Level 2,Casual Driver,75,48.9542706780174,0.808506255666325,19.6744112892391,1.610441304737,71.6210409570786,0.181331610619864,4.80550240843506
